FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44428.2,0,0,0.016634,0.0176363,0.00100232,44523,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44428.2,0,0,0.0166342,0.0176366,0.00100232,44438.4,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41622.9,0,0,0.0166345,0.0176368,0.0010023,41631.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41622.9,0,0,0.0166347,0.017637,0.0010023,41631.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,8,1440,UDP,UDP,1,2777,2562,215,7051.02,106,2,0.50144,4.66863,4.16719,7967.28,92.2578
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,8,1440,UDP,UDP,1,2763,2241,522,6252.54,155,3,0.522493,4.63306,4.11056,7967.29,81.1075
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,8,1440,UDP,UDP,1,2748,2747,1,7943.54,11,0,0.543545,4.50962,3.96607,7967.31,99.9636
8,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.1,300,UDP,UDP,1,165,2,163,203.382,1,0,0.544,0.569199,0.0251989,107.421,1.21212
9,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,1637,1637,0,310.489,0,0,0.545958,4.50021,3.95425,310.489,100
10,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,8,1440,UDP,UDP,1,2733,2732,1,7943.33,11,0,0.564598,4.50912,3.94452,7967.32,99.9634
11,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.1,300,UDP,UDP,1,164,164,0,107.374,1,0,0.565053,4.47896,3.91391,107.425,100
12,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,8,1440,UDP,UDP,1,2719,2549,170,7305.98,100,2,0.585651,4.58701,4.00136,7967.34,93.7477
13,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.1,300,UDP,UDP,1,164,84,80,107.984,1,0,0.586105,2.57946,1.99335,107.425,51.2195
14,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,8,1440,UDP,UDP,1,2704,2703,1,7943.04,11,0,0.606703,4.50949,3.90279,7967.36,99.963
15,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.1,300,UDP,UDP,1,163,136,27,107.519,1,0,0.607158,3.84846,3.2413,107.429,83.4356
16,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,8,1440,UDP,UDP,1,2690,2689,1,7942.97,11,0,0.627756,4.51037,3.88261,7967.37,99.9628
17,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.1,300,UDP,UDP,1,162,0,162,0,0,0,0.628211,0,5,107.433,0
18,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,8,1440,UDP,UDP,1,2675,2642,33,7847.88,51,1,0.648808,4.50978,3.86097,7967.39,98.7664
19,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.1,300,UDP,UDP,1,161,161,0,107.401,1,0,0.649263,4.49058,3.84132,107.437,100
20,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,8,1440,UDP,UDP,1,2660,2659,1,7942.75,11,0,0.669861,4.50926,3.8394,7967.4,99.9624
21,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.1,300,UDP,UDP,1,160,0,160,0,0,0,0.670316,0,5,107.442,0
22,1.0.0.2,7.0.0.11,49162,5009,DL,video,9,8,1440,UDP,UDP,1,2646,2113,533,6042.31,148,3,0.690914,4.70155,4.01063,7967.42,79.8564
23,7.0.0.9,1.0.0.1,49153,5027,UL,video,7,0.1,300,UDP,UDP,1,159,0,159,0,0,0,0.691368,0,5,107.446,0
24,1.0.0.2,7.0.0.12,49163,5010,DL,video,10,8,1440,UDP,UDP,1,2631,2563,68,7699.77,72,2,0.711966,4.52954,3.81757,7967.44,97.4154
25,7.0.0.10,1.0.0.1,49153,5028,UL,video,8,0.1,300,UDP,UDP,1,158,1,157,1185.36,2,0,0.712421,0.714583,0.00216178,107.45,0.632911
26,1.0.0.2,7.0.0.13,49164,5011,DL,video,11,8,1440,UDP,UDP,1,2616,2532,84,7506.04,65,1,0.733019,4.60175,3.86873,7967.45,96.789
27,7.0.0.11,1.0.0.1,49153,5029,UL,video,9,0.1,300,UDP,UDP,1,157,157,0,107.395,1,0,0.733474,4.47958,3.74611,107.454,100
28,7.0.0.12,1.0.0.1,49153,5030,UL,video,10,0.1,300,UDP,UDP,1,157,0,157,0,0,0,0.754526,0,5,107.454,0
29,1.0.0.2,7.0.0.14,49165,5012,DL,voip,12,0.128,160,UDP,UDP,1,374,373,1,146.463,11,0,0.762632,4.50313,3.7405,147.268,99.7326
30,7.0.0.13,1.0.0.1,49153,5031,UL,video,11,0.1,300,UDP,UDP,1,156,150,6,103.292,11,8,0.775579,4.49683,3.72125,107.459,96.1538
31,1.0.0.2,7.0.0.15,49166,5013,DL,voip,13,0.128,160,UDP,UDP,1,372,368,4,145.278,17,1,0.783684,4.50413,3.72044,147.27,98.9247
32,1.0.0.2,7.0.0.16,49167,5014,DL,social,14,5,500,UDP,UDP,1,4631,4523,108,4819.35,101,1,0.795537,4.66689,3.87135,5157.36,97.6679
33,7.0.0.14,1.0.0.1,49153,5032,UL,voip,12,0.032,160,UDP,UDP,1,93,0,93,0,0,0,0.812632,0,5,37.1169,0
34,1.0.0.2,7.0.0.17,49168,5015,DL,social,15,5,500,UDP,UDP,1,4605,4448,157,4814.12,122,1,0.816589,4.62788,3.81129,5157.37,96.5907
35,7.0.0.16,1.0.0.1,49153,5034,UL,social,14,0.25,250,UDP,UDP,1,460,460,0,271.985,1,0,0.822737,4.49596,3.67322,272.075,100
36,7.0.0.15,1.0.0.1,49153,5033,UL,voip,13,0.032,160,UDP,UDP,1,92,92,0,37.108,1,0,0.833684,4.47508,3.6414,37.1213,100
37,1.0.0.2,7.0.0.18,49169,5016,DL,gaming,16,1,500,UDP,UDP,1,915,890,25,998.939,46,3,0.840842,4.51599,3.67515,1032.38,97.2678
38,7.0.0.17,1.0.0.1,49153,5035,UL,social,15,0.25,250,UDP,UDP,1,458,4,454,343.47,1,0,0.843789,0.869083,0.0252933,272.078,0.873362
39,1.0.0.2,7.0.0.19,49170,5017,DL,ftp,17,10,1440,UDP,UDP,1,3161,2848,313,8732.26,119,2,0.859047,4.59955,3.7405,9958.66,90.0981
40,7.0.0.18,1.0.0.1,49153,5036,UL,gaming,16,0.25,250,UDP,UDP,1,455,1,454,1090.97,1,0,0.864842,0.866833,0.00199077,272.081,0.21978
41,1.0.0.2,7.0.0.20,49171,5018,DL,ftp,18,10,1440,UDP,UDP,1,3143,3137,6,9911.05,18,0,0.880099,4.51014,3.63004,9958.68,99.8091
42,7.0.0.19,1.0.0.1,49153,5037,UL,ftp,17,0.5,1000,UDP,UDP,1,226,0,226,0,0,0,0.893895,0,5,504.183,0
43,1.0.0.2,7.0.0.21,49172,5019,DL,ftp,19,10,1440,UDP,UDP,1,3124,2660,464,8042.99,134,2,0.901152,4.69413,3.79297,9958.7,85.1472
44,7.0.0.20,1.0.0.1,49153,5038,UL,ftp,18,0.5,1000,UDP,UDP,1,225,225,0,504.017,1,0,0.914947,4.50021,3.58526,504.193,100
45,7.0.0.21,1.0.0.1,49153,5039,UL,ftp,19,0.5,1000,UDP,UDP,1,223,0,223,0,0,0,0.936,0,5,504.213,0
