FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44428.2,0,0,0.016634,0.0176363,0.00100232,44523,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44428.2,0,0,0.0166342,0.0176366,0.00100232,44438.4,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41622.9,0,0,0.0166345,0.0176368,0.0010023,41631.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41622.9,0,0,0.0166347,0.017637,0.0010023,41631.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,2,1440,UDP,UDP,1,694,677,17,1940.06,37,4,0.50576,4.50787,4.00211,1993.97,97.5504
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,2,1440,UDP,UDP,1,690,675,15,1945.54,31,3,0.526813,4.50587,3.97906,1993.99,97.8261
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,2,1440,UDP,UDP,1,687,686,1,1985.87,11,0,0.547865,4.50963,3.96176,1994,99.8544
8,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,2,1440,UDP,UDP,1,683,682,1,1985.86,11,0,0.568918,4.50762,3.9387,1994.02,99.8536
9,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,2,1440,UDP,UDP,1,679,653,26,1912.54,41,4,0.589971,4.50576,3.91579,1994.04,96.1708
10,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,2,1440,UDP,UDP,1,676,675,1,1985.69,11,0,0.611023,4.50962,3.89859,1994.05,99.8521
11,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.025,300,UDP,UDP,1,41,0,41,0,0,0,0.616,0,5,27.3592,0
12,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,2,1440,UDP,UDP,1,672,671,1,1985.73,11,0,0.632076,4.50749,3.87542,1994.07,99.8512
13,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.025,300,UDP,UDP,1,41,41,0,27.35,1,0,0.637053,4.47846,3.84141,27.3592,100
14,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,305,305,0,59.2962,0,0,0.639083,4.49683,3.85775,59.2962,100
15,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,2,1440,UDP,UDP,1,668,634,34,1887.4,39,4,0.653128,4.50563,3.8525,1994.09,94.9102
16,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.025,300,UDP,UDP,1,41,11,30,29.3207,1,0,0.658105,1.61946,0.961353,27.3592,26.8293
17,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,2,1440,UDP,UDP,1,665,664,1,1985.69,11,0,0.674181,4.50924,3.83506,1994.1,99.8496
18,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.025,300,UDP,UDP,1,40,40,0,27.3667,1,0,0.679158,4.42458,3.74542,27.3763,100
19,1.0.0.2,7.0.0.11,49162,5009,DL,video,9,2,1440,UDP,UDP,1,661,641,20,1915.87,45,4,0.695234,4.53237,3.83713,1994.12,96.9743
20,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.025,300,UDP,UDP,1,40,0,40,0,0,0,0.700211,0,5,27.3763,0
21,1.0.0.2,7.0.0.12,49163,5010,DL,video,10,2,1440,UDP,UDP,1,657,633,24,1915.64,37,4,0.716286,4.506,3.78972,1994.14,96.347
22,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.025,300,UDP,UDP,1,40,40,0,27.3666,1,0,0.721263,4.46671,3.74544,27.3763,100
23,1.0.0.2,7.0.0.13,49164,5011,DL,video,11,2,1440,UDP,UDP,1,654,650,4,1976.49,16,1,0.737339,4.50901,3.77167,1994.15,99.3884
24,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.025,300,UDP,UDP,1,40,1,39,1270.43,2,0,0.742316,0.744333,0.00201703,27.3763,2.5
25,7.0.0.9,1.0.0.1,49153,5027,UL,video,7,0.025,300,UDP,UDP,1,39,0,39,0,0,0,0.763368,0,5,27.3942,0
26,1.0.0.2,7.0.0.14,49165,5012,DL,voip,12,0.064,160,UDP,UDP,1,187,186,1,73.2311,12,0,0.772632,4.50312,3.73049,73.8314,99.4652
27,7.0.0.10,1.0.0.1,49153,5028,UL,video,8,0.025,300,UDP,UDP,1,39,0,39,0,0,0,0.784421,0,5,27.3942,0
28,1.0.0.2,7.0.0.15,49166,5013,DL,voip,13,0.064,160,UDP,UDP,1,186,185,1,73.231,12,0,0.793684,4.50412,3.71043,73.8335,99.4624
29,1.0.0.2,7.0.0.16,49167,5014,DL,social,14,0.5,500,UDP,UDP,1,463,459,4,510.842,16,1,0.802737,4.50912,3.70638,516.74,99.1361
30,7.0.0.11,1.0.0.1,49153,5029,UL,video,9,0.025,300,UDP,UDP,1,39,39,0,27.3803,1,0,0.805474,4.45546,3.64998,27.3942,100
31,1.0.0.2,7.0.0.17,49168,5015,DL,social,15,0.5,500,UDP,UDP,1,460,459,1,514.161,12,0,0.823789,4.50624,3.68245,516.748,99.7826
32,7.0.0.12,1.0.0.1,49153,5030,UL,video,10,0.025,300,UDP,UDP,1,39,0,39,0,0,0,0.826526,0,5,27.3942,0
33,7.0.0.13,1.0.0.1,49153,5031,UL,video,11,0.025,300,UDP,UDP,1,39,6,33,17.7412,40,26,0.847579,1.71421,0.866629,27.3942,15.3846
34,7.0.0.14,1.0.0.1,49153,5032,UL,voip,12,0.016,160,UDP,UDP,1,46,0,46,0,0,0,0.852632,0,5,18.7664,0
35,1.0.0.2,7.0.0.19,49170,5017,DL,ftp,17,1,1440,UDP,UDP,1,316,294,22,893.325,21,3,0.869415,4.64387,3.77445,998.711,93.038
36,7.0.0.15,1.0.0.1,49153,5033,UL,voip,13,0.016,160,UDP,UDP,1,46,46,0,18.7601,1,0,0.873684,4.47508,3.6014,18.7664,100
37,1.0.0.2,7.0.0.18,49169,5016,DL,gaming,16,0.1,500,UDP,UDP,1,91,78,13,89.1173,28,15,0.876842,4.48725,3.61041,104.27,85.7143
38,1.0.0.2,7.0.0.20,49171,5018,DL,ftp,18,1,1440,UDP,UDP,1,314,313,1,992.691,11,0,0.890467,4.50662,3.61615,998.731,99.6815
39,7.0.0.16,1.0.0.1,49153,5034,UL,social,14,0.025,250,UDP,UDP,1,46,46,0,27.7356,1,0,0.894737,4.49683,3.6021,27.7508,100
40,1.0.0.2,7.0.0.21,49172,5019,DL,ftp,19,1,1440,UDP,UDP,1,312,272,40,866.285,56,12,0.91152,4.51253,3.60101,998.752,87.1795
41,7.0.0.17,1.0.0.1,49153,5035,UL,social,15,0.025,250,UDP,UDP,1,45,0,45,0,0,0,0.915789,0,5,27.7645,0
42,7.0.0.18,1.0.0.1,49153,5036,UL,gaming,16,0.025,250,UDP,UDP,1,45,13,32,29.3081,2,0,0.936842,1.90021,0.963366,27.7645,28.8889
43,7.0.0.19,1.0.0.1,49153,5037,UL,ftp,17,0.05,1000,UDP,UDP,1,22,0,22,0,0,0,1.03789,0,5,52.5846,0
44,7.0.0.20,1.0.0.1,49153,5038,UL,ftp,18,0.05,1000,UDP,UDP,1,22,22,0,52.5639,1,0,1.05895,4.42033,3.36139,52.5846,100
45,7.0.0.21,1.0.0.1,49153,5039,UL,ftp,19,0.05,1000,UDP,UDP,1,22,0,22,0,0,0,1.08,0,5,52.5846,0
