Timestamp_ns,Loss_dB,TxAntGain_dB,RxAntGain_dB,PropGain_dB,Pathloss_dB,Delay_ns,SrcId,SrcX,SrcY,SrcZ,DstId,DstX,DstY,DstZ
878,86.8737,0,0,-86.8737,86.8737,878,0,0,0,35,6,-239.821,103.112,1.5
1034,88.2928,0,0,-88.2928,88.2928,1034,0,0,0,35,4,278.814,-131.064,1.5
1076,88.6435,0,0,-88.6435,88.6435,1076,0,0,0,35,7,-14.8918,320.58,1.5
1144,89.1752,0,0,-89.1752,89.1752,1144,0,0,0,35,19,118.482,320.179,1.5
1321,90.4214,0,0,-90.4214,90.4214,1321,0,0,0,35,9,-204.206,337.58,1.5
1341,90.5552,0,0,-90.5552,90.5552,1341,0,0,0,35,1,-22.0711,-400.099,1.5
1447,91.2157,0,0,-91.2157,91.2157,1447,0,0,0,35,16,116.873,416.495,1.5
2062,94.289,0,0,-94.289,94.289,2062,0,0,0,35,13,518.276,335.066,1.5
2134,94.5868,0,0,-94.5868,94.5868,2134,0,0,0,35,2,-617.369,-163.835,1.5
2153,94.6658,0,0,-94.6658,94.6658,2153,0,0,0,35,20,66.4812,641.155,1.5
2293,95.2134,0,0,-95.2134,95.2134,2293,0,0,0,35,5,531.109,-435.214,1.5
2688,96.5928,0,0,-96.5928,96.5928,2688,0,0,0,35,3,599.809,-537.032,1.5
2841,97.075,0,0,-97.075,97.075,2841,0,0,0,35,17,729.674,438.171,1.5
2864,97.1455,0,0,-97.1455,97.1455,2864,0,0,0,35,11,-351.539,782.759,1.5
3159,97.9959,0,0,-97.9959,97.9959,3159,0,0,0,35,10,-942.438,-87.2385,1.5
3175,98.0396,0,0,-98.0396,98.0396,3175,0,0,0,35,8,314.407,-897.787,1.5
3265,98.2831,0,0,-98.2831,98.2831,3265,0,0,0,35,18,935.16,287.396,1.5
3267,98.2866,0,0,-98.2866,98.2866,3267,0,0,0,35,15,581.08,787.547,1.5
3289,98.3464,0,0,-98.3464,98.3464,3289,0,0,0,35,12,-303.538,-937.574,1.5
3310,98.4022,0,0,-98.4022,98.4022,3310,0,0,0,35,14,697.332,-705.332,1.5
17857457,78.1466,0,0,-78.1466,78.1466,321,16,116.848,416.504,1.5,19,118.471,320.154,1.5
17857457,78.1466,0,0,-78.1466,78.1466,321,19,118.471,320.154,1.5,16,116.848,416.504,1.5
17857546,80.2565,0,0,-80.2565,80.2565,410,3,599.792,-537.052,1.5,5,531.085,-435.2,1.5
17857546,80.2565,0,0,-80.2565,80.2565,410,5,531.085,-435.2,1.5,3,599.792,-537.052,1.5
17857581,80.9705,0,0,-80.9705,80.9705,445,7,-14.9124,320.597,1.5,19,118.471,320.154,1.5
17857581,80.9705,0,0,-80.9705,80.9705,445,19,118.471,320.154,1.5,7,-14.9124,320.597,1.5
17857680,82.7105,0,0,-82.7105,82.7105,544,7,-14.9124,320.597,1.5,16,116.848,416.504,1.5
17857680,82.7105,0,0,-82.7105,82.7105,544,16,116.848,416.504,1.5,7,-14.9124,320.597,1.5
17857770,84.0452,0,0,-84.0452,84.0452,634,7,-14.9124,320.597,1.5,9,-204.191,337.558,1.5
17857770,84.0452,0,0,-84.0452,84.0452,634,9,-204.191,337.558,1.5,7,-14.9124,320.597,1.5
17857785,84.2467,0,0,-84.2467,84.2467,649,3,599.792,-537.052,1.5,14,697.306,-705.339,1.5
17857785,84.2467,0,0,-84.2467,84.2467,649,14,697.306,-705.339,1.5,3,599.792,-537.052,1.5
17857904,85.7121,0,0,-85.7121,85.7121,768,16,116.848,416.504,1.5,20,66.457,641.166,1.5
17857904,85.7121,0,0,-85.7121,85.7121,768,20,66.457,641.166,1.5,16,116.848,416.504,1.5
17857921,85.8978,0,0,-85.8978,85.8978,785,13,518.249,335.065,1.5,17,729.678,438.144,1.5
17857921,85.8978,0,0,-85.8978,85.8978,785,17,729.678,438.144,1.5,13,518.249,335.065,1.5
17857927,85.9674,0,0,-85.9674,85.9674,791,6,-239.816,103.138,1.5,9,-204.191,337.558,1.5
17857927,85.9674,0,0,-85.9674,85.9674,791,9,-204.191,337.558,1.5,6,-239.816,103.138,1.5
17857986,86.5935,0,0,-86.5935,86.5935,850,17,729.678,438.144,1.5,18,935.16,287.422,1.5
17857986,86.5935,0,0,-86.5935,86.5935,850,18,935.16,287.422,1.5,17,729.678,438.144,1.5
17858014,86.8739,0,0,-86.8739,86.8739,878,6,-239.816,103.138,1.5,0,0,0,35
17858170,88.2934,0,0,-88.2934,88.2934,1034,4,278.84,-131.059,1.5,0,0,0,35
17858180,88.3749,0,0,-88.3749,88.3749,1044,6,-239.816,103.138,1.5,7,-14.9124,320.597,1.5
17858180,88.3749,0,0,-88.3749,88.3749,1044,7,-14.9124,320.597,1.5,6,-239.816,103.138,1.5
17858194,88.4946,0,0,-88.4946,88.4946,1058,5,531.085,-435.2,1.5,14,697.306,-705.339,1.5
17858194,88.4946,0,0,-88.4946,88.4946,1058,14,697.306,-705.339,1.5,5,531.085,-435.2,1.5
17858212,88.644,0,0,-88.644,88.644,1076,7,-14.9124,320.597,1.5,0,0,0,35
17858214,88.656,0,0,-88.656,88.656,1078,9,-204.191,337.558,1.5,19,118.471,320.154,1.5
17858214,88.656,0,0,-88.656,88.656,1078,19,118.471,320.154,1.5,9,-204.191,337.558,1.5
17858221,88.7113,0,0,-88.7113,88.7113,1085,19,118.471,320.154,1.5,20,66.457,641.166,1.5
17858221,88.7113,0,0,-88.7113,88.7113,1085,20,66.457,641.166,1.5,19,118.471,320.154,1.5
17858239,88.858,0,0,-88.858,88.858,1103,7,-14.9124,320.597,1.5,20,66.457,641.166,1.5
