FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185359,0.022538,0.0040021,11131.9,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,11127,0,0,0.0185361,0.0225382,0.0040021,11127.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185364,0.0225384,0.00400208,10424.8,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,10424.3,0,0,0.0185366,0.0225387,0.00400208,10424.8,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,25,1440,UDP,UDP,1,8680,8675,5,24802,16,0,0.500461,4.51189,4.01143,24891.6,99.9424
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,25,1440,UDP,UDP,1,8634,8629,5,24800.4,16,0,0.521513,4.51192,3.99041,24891.7,99.9421
7,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.3125,300,UDP,UDP,1,518,0,518,0,0,0,0.52768,0,5,334.303,0
8,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,25,1440,UDP,UDP,1,8589,8485,104,23489.8,79,0,0.542566,4.68531,4.14275,24891.7,98.7891
9,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.3125,300,UDP,UDP,1,515,12,503,344.357,4,0,0.548733,0.638029,0.0892969,334.307,2.3301
10,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,5153,5153,0,979.161,0,0,0.556529,4.50353,3.947,979.161,100
11,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,25,1440,UDP,UDP,1,8543,8533,10,24789.4,22,0,0.563619,4.51139,3.94777,24891.7,99.8829
12,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.3125,300,UDP,UDP,1,512,13,499,344.463,5,0,0.569785,0.666494,0.0967086,334.311,2.53906
13,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,25,1440,UDP,UDP,1,8497,8243,254,22955.6,124,0,0.584671,4.70292,4.11825,24891.7,97.0107
14,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.3125,300,UDP,UDP,1,510,1,509,333.161,7,0,0.590838,0.598529,0.00769147,334.314,0.196078
15,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,25,1440,UDP,UDP,1,8452,8442,10,24789,18,0,0.605724,4.51146,3.90573,24891.7,99.8817
16,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.3125,300,UDP,UDP,1,507,4,503,370.853,5,1,0.611891,0.63953,0.027639,334.317,0.788955
17,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,25,1440,UDP,UDP,1,8406,8337,69,24147.6,60,0,0.626777,4.58639,3.95961,24891.7,99.1792
18,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.3125,300,UDP,UDP,1,504,9,495,349.165,4,0,0.632943,0.698994,0.0660505,334.321,1.78571
