Timestamp_ns,Loss_dB,TxAntGain_dB,RxAntGain_dB,PropGain_dB,Pathloss_dB,Delay_ns,SrcId,SrcX,SrcY,SrcZ,DstId,DstX,DstY,DstZ
188,103.78,0,0,-103.78,103.78,188,0,0,0,25,6,3.46482,51.1186,1.5
204,88.6126,0,0,-88.6126,88.6126,204,0,0,0,25,4,-24.6086,50.8967,1.5
209,90.9965,0,0,-90.9965,90.9965,209,0,0,0,25,7,14.5871,56.1745,1.5
216,87.6048,0,0,-87.6048,87.6048,216,0,0,0,25,19,19.0742,57.391,1.5
237,108.296,0,0,-108.296,108.296,237,0,0,0,25,9,11.4131,66.0409,1.5
239,97.261,0,0,-97.261,97.261,239,0,0,0,25,1,-16.9447,65.6443,1.5
252,90.4945,0,0,-90.4945,90.4945,252,0,0,0,25,16,21.7409,68.4844,1.5
331,98.3699,0,0,-98.3699,98.3699,331,0,0,0,25,13,40.0111,87.7171,1.5
343,104.85,0,0,-104.85,104.85,343,0,0,0,25,20,27.5875,96.2938,1.5
362,96.9335,0,0,-96.9335,96.9335,362,0,0,0,25,5,-42.1578,97.2134,1.5
379,111.077,0,0,-111.077,111.077,379,0,0,0,25,2,-4.29448,99.2718,1.5
416,99.1008,0,0,-99.1008,99.1008,416,0,0,0,25,3,-47.9011,112.702,1.5
437,105.373,0,0,-105.373,105.373,437,0,0,0,25,17,54.1521,117.004,1.5
440,119.932,0,0,-119.932,119.932,440,0,0,0,25,11,24.7186,127.532,1.5
484,98.1833,0,0,-98.1833,98.1833,484,0,0,0,25,8,-44.7277,135.906,1.5
496,107.973,0,0,-107.973,107.973,496,0,0,0,25,15,52.8393,137.149,1.5
496,108.098,0,0,-108.098,108.098,496,0,0,0,25,18,67.049,130.728,1.5
500,98.6381,0,0,-98.6381,98.6381,500,0,0,0,25,12,-30.7834,144.699,1.5
503,99.752,0,0,-99.752,99.752,503,0,0,0,25,14,-56.8284,137.566,1.5
517,112.506,0,0,-112.506,112.506,517,0,0,0,25,10,-2.19058,142.382,1.5
16928756,103.78,0,0,-103.78,103.78,188,6,3.46482,51.1186,1.5,0,0,0,25
16928772,88.6126,0,0,-88.6126,88.6126,204,4,-24.6086,50.8967,1.5,0,0,0,25
16928777,90.9965,0,0,-90.9965,90.9965,209,7,14.5871,56.1745,1.5,0,0,0,25
16928784,87.6048,0,0,-87.6048,87.6048,216,19,19.0742,57.391,1.5,0,0,0,25
16928805,108.296,0,0,-108.296,108.296,237,9,11.4131,66.0409,1.5,0,0,0,25
16928807,97.261,0,0,-97.261,97.261,239,1,-16.9447,65.6443,1.5,0,0,0,25
16928820,90.4945,0,0,-90.4945,90.4945,252,16,21.7409,68.4844,1.5,0,0,0,25
16928899,98.3699,0,0,-98.3699,98.3699,331,13,40.0111,87.7171,1.5,0,0,0,25
16928911,104.85,0,0,-104.85,104.85,343,20,27.5875,96.2938,1.5,0,0,0,25
16928930,96.9335,0,0,-96.9335,96.9335,362,5,-42.1578,97.2134,1.5,0,0,0,25
16928947,111.077,0,0,-111.077,111.077,379,2,-4.29448,99.2718,1.5,0,0,0,25
16928984,99.1008,0,0,-99.1008,99.1008,416,3,-47.9011,112.702,1.5,0,0,0,25
16929005,105.373,0,0,-105.373,105.373,437,17,54.1521,117.004,1.5,0,0,0,25
16929008,119.932,0,0,-119.932,119.932,440,11,24.7186,127.532,1.5,0,0,0,25
16929052,98.1833,0,0,-98.1833,98.1833,484,8,-44.7277,135.906,1.5,0,0,0,25
16929064,107.973,0,0,-107.973,107.973,496,15,52.8393,137.149,1.5,0,0,0,25
16929064,108.098,0,0,-108.098,108.098,496,18,67.049,130.728,1.5,0,0,0,25
16929068,98.6381,0,0,-98.6381,98.6381,500,12,-30.7834,144.699,1.5,0,0,0,25
16929071,99.752,0,0,-99.752,99.752,503,14,-56.8284,137.566,1.5,0,0,0,25
16929085,112.506,0,0,-112.506,112.506,517,10,-2.19058,142.382,1.5,0,0,0,25
50000188,103.78,0,0,-103.78,103.78,188,0,0,0,25,6,3.46482,51.1186,1.5
50000204,88.6126,0,0,-88.6126,88.6126,204,0,0,0,25,4,-24.6086,50.8967,1.5
50000209,90.9965,0,0,-90.9965,90.9965,209,0,0,0,25,7,14.5871,56.1745,1.5
50000216,87.6048,0,0,-87.6048,87.6048,216,0,0,0,25,19,19.0742,57.391,1.5
50000237,108.296,0,0,-108.296,108.296,237,0,0,0,25,9,11.4131,66.0409,1.5
50000239,97.261,0,0,-97.261,97.261,239,0,0,0,25,1,-16.9447,65.6443,1.5
50000252,90.4945,0,0,-90.4945,90.4945,252,0,0,0,25,16,21.7409,68.4844,1.5
50000331,98.3699,0,0,-98.3699,98.3699,331,0,0,0,25,13,40.0111,87.7171,1.5
50000343,104.85,0,0,-104.85,104.85,343,0,0,0,25,20,27.5875,96.2938,1.5
50000362,96.9335,0,0,-96.9335,96.9335,362,0,0,0,25,5,-42.1578,97.2134,1.5
50000379,111.077,0,0,-111.077,111.077,379,0,0,0,25,2,-4.29448,99.2718,1.5
50000416,99.1008,0,0,-99.1008,99.1008,416,0,0,0,25,3,-47.9011,112.702,1.5
