FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5564.08,0,0,0.0210723,0.0290756,0.00800334,5564.71,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5564.08,0,0,0.0210725,0.0290759,0.00800334,5564.24,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5212.68,0,0,0.0210728,0.0290761,0.00800333,5212.82,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,5212.68,0,0,0.021073,0.0290763,0.00800333,5212.82,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,25,1440,UDP,UDP,1,8680,1716,6964,4374.18,2203,2,0.500461,4.99967,4.49921,24891.6,19.7696
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,25,1440,UDP,UDP,1,8634,1718,6916,4399.94,2137,2,0.521513,4.9996,4.47809,24891.7,19.8981
7,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.3125,300,UDP,UDP,1,518,0,518,0,0,0,0.52768,0,5,334.303,0
8,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,25,1440,UDP,UDP,1,8589,1786,6803,4596.8,2081,2,0.542566,4.99853,4.45597,24891.7,20.794
9,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.3125,300,UDP,UDP,1,515,3,512,318.247,11,2,0.548733,0.572888,0.0241558,334.307,0.582524
10,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,1383,1383,0,262.928,0,0,0.56296,4.50796,3.945,262.928,100
11,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,25,1440,UDP,UDP,1,8543,1694,6849,4379.72,2143,2,0.563619,4.99953,4.43591,24891.7,19.8291
12,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.3125,300,UDP,UDP,1,512,0,512,0,0,0,0.569785,0,5,334.311,0
13,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,25,1440,UDP,UDP,1,8497,1724,6773,4479.63,2127,2,0.584671,4.99846,4.41379,24891.7,20.2895
14,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.3125,300,UDP,UDP,1,510,6,504,326.289,11,3,0.590838,0.637959,0.0471209,334.314,1.17647
15,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,25,1440,UDP,UDP,1,8452,1678,6774,4380,2120,2,0.605724,4.99946,4.39373,24891.7,19.8533
16,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.3125,300,UDP,UDP,1,507,23,484,291.665,40,9,0.611891,0.813963,0.202073,334.317,4.53649
17,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,25,1440,UDP,UDP,1,8406,1688,6718,4427.39,2152,2,0.626777,4.99939,4.37261,24891.7,20.0809
18,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.3125,300,UDP,UDP,1,504,1,503,195.809,13,0,0.632943,0.64603,0.0130867,334.321,0.198413
19,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,25,1440,UDP,UDP,1,8360,1625,6735,4283.82,2187,2,0.647829,4.99832,4.35049,24891.8,19.4378
20,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.3125,300,UDP,UDP,1,501,0,501,0,0,0,0.653996,0,5,334.325,0
