FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44438.4,0,0,0.016634,0.0176361,0.00100209,44523,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44438.4,0,0,0.0166342,0.0176363,0.00100209,44448.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41632.4,0,0,0.0166345,0.0176365,0.00100207,41641.3,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41632.4,0,0,0.0166347,0.0176368,0.00100207,41641.3,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,2,1440,UDP,UDP,1,694,686,8,1965.85,24,2,0.50576,4.50787,4.00211,1993.97,98.8473
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,2,1440,UDP,UDP,1,690,689,1,1985.89,11,0,0.526813,4.50587,3.97906,1993.99,99.8551
7,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,2,1440,UDP,UDP,1,687,682,5,1974.3,15,0,0.547865,4.50962,3.96175,1994,99.2722
8,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,2,1440,UDP,UDP,1,683,682,1,1985.86,11,0,0.568918,4.50762,3.9387,1994.02,99.8536
9,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,2,1440,UDP,UDP,1,679,677,2,1982.84,13,0,0.589971,4.50574,3.91577,1994.04,99.7054
10,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,2,1440,UDP,UDP,1,676,675,1,1985.76,11,0,0.611023,4.50949,3.89847,1994.05,99.8521
11,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.025,300,UDP,UDP,1,41,0,41,0,0,0,0.616,0,5,27.3592,0
12,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,2,1440,UDP,UDP,1,672,671,1,1985.73,11,0,0.632076,4.50749,3.87542,1994.07,99.8512
13,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.025,300,UDP,UDP,1,41,41,0,27.3447,2,0,0.637053,4.47921,3.84216,27.3592,100
14,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,452,452,0,87.8836,0,0,0.640333,4.49771,3.85738,87.8836,100
15,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,2,1440,UDP,UDP,1,668,664,4,1976.77,16,0,0.653128,4.50549,3.85236,1994.09,99.4012
16,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.025,300,UDP,UDP,1,41,11,30,29.2978,1,0,0.658105,1.62021,0.962103,27.3592,26.8293
17,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,2,1440,UDP,UDP,1,665,659,6,1970.74,20,1,0.674181,4.50924,3.83506,1994.1,99.0977
18,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.025,300,UDP,UDP,1,40,2,38,52.2693,2,0,0.679158,0.777208,0.0980499,27.3763,5
19,1.0.0.2,7.0.0.11,49162,5009,DL,video,9,2,1440,UDP,UDP,1,661,659,2,1982.65,13,0,0.695234,4.50726,3.81203,1994.12,99.6974
20,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.025,300,UDP,UDP,1,40,1,39,1207.37,2,0,0.700211,0.702333,0.00212239,27.3763,2.5
21,1.0.0.2,7.0.0.12,49163,5010,DL,video,10,2,1440,UDP,UDP,1,657,649,8,1964.45,23,1,0.716286,4.50524,3.78896,1994.14,98.7823
22,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.025,300,UDP,UDP,1,40,1,39,1238.13,2,0,0.721263,0.723333,0.00206965,27.3763,2.5
23,1.0.0.2,7.0.0.13,49164,5011,DL,video,11,2,1440,UDP,UDP,1,654,649,5,1973.46,15,1,0.737339,4.509,3.77166,1994.15,99.2355
24,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.025,300,UDP,UDP,1,40,1,39,1270.43,2,0,0.742316,0.744333,0.00201703,27.3763,2.5
25,7.0.0.9,1.0.0.1,49153,5027,UL,video,7,0.025,300,UDP,UDP,1,39,39,0,27.3785,2,0,0.763368,4.41358,3.65021,27.3942,100
26,1.0.0.2,7.0.0.14,49165,5012,DL,voip,12,0.064,160,UDP,UDP,1,187,185,2,72.8374,13,1,0.772632,4.50312,3.73049,73.8314,98.9305
27,7.0.0.10,1.0.0.1,49153,5028,UL,video,8,0.025,300,UDP,UDP,1,39,28,11,27.6583,2,0,0.784421,3.37858,2.59416,27.3942,71.7949
28,1.0.0.2,7.0.0.15,49166,5013,DL,voip,13,0.064,160,UDP,UDP,1,186,185,1,73.231,12,0,0.793684,4.50412,3.71043,73.8335,99.4624
29,1.0.0.2,7.0.0.16,49167,5014,DL,social,14,0.5,500,UDP,UDP,1,463,460,3,511.955,14,1,0.802737,4.50912,3.70638,516.74,99.3521
30,7.0.0.11,1.0.0.1,49153,5029,UL,video,9,0.025,300,UDP,UDP,1,39,27,12,18.9452,20,29,0.805474,4.45746,3.65198,27.3942,69.2308
31,1.0.0.2,7.0.0.17,49168,5015,DL,social,15,0.5,500,UDP,UDP,1,460,459,1,514.161,11,0,0.823789,4.50624,3.68245,516.748,99.7826
32,7.0.0.12,1.0.0.1,49153,5030,UL,video,10,0.025,300,UDP,UDP,1,39,39,0,27.3788,2,0,0.826526,4.4767,3.65017,27.3942,100
33,7.0.0.13,1.0.0.1,49153,5031,UL,video,11,0.025,300,UDP,UDP,1,39,39,0,27.3792,2,0,0.847579,4.49771,3.65013,27.3942,100
34,7.0.0.14,1.0.0.1,49153,5032,UL,voip,12,0.016,160,UDP,UDP,1,46,46,0,18.7598,1,0,0.852632,4.45407,3.60144,18.7664,100
35,1.0.0.2,7.0.0.19,49170,5017,DL,ftp,17,1,1440,UDP,UDP,1,316,315,1,992.705,11,0,0.869415,4.50862,3.6392,998.711,99.6835
36,7.0.0.15,1.0.0.1,49153,5033,UL,voip,13,0.016,160,UDP,UDP,1,46,46,0,18.7601,1,0,0.873684,4.47508,3.6014,18.7664,100
37,1.0.0.2,7.0.0.18,49169,5016,DL,gaming,16,0.1,500,UDP,UDP,1,91,90,1,102.828,12,1,0.876842,4.48724,3.6104,104.27,98.9011
